Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.2785765412810428
75% Corpus,2,0.01,0.31,0.2855707545703312
75% Corpus,2,0.01,0.61,0.22824701472417475
75% Corpus,2,0.01,0.9099999999999999,0.22847210257188894
75% Corpus,2,0.01,symmetric,0.2507532595554897
75% Corpus,2,0.31,0.01,0.24975230608422294
75% Corpus,2,0.31,0.31,0.29552904423417004
75% Corpus,2,0.31,0.61,0.24026170279538095
75% Corpus,2,0.31,0.9099999999999999,0.2201530527802439
75% Corpus,2,0.31,symmetric,0.269719940583249
75% Corpus,2,0.61,0.01,0.3120223967926844
75% Corpus,2,0.61,0.31,0.27622897513653777
75% Corpus,2,0.61,0.61,0.28690911915367023
75% Corpus,2,0.61,0.9099999999999999,0.24561379074097034
75% Corpus,2,0.61,symmetric,0.28039279391419597
75% Corpus,2,0.9099999999999999,0.01,0.29326965786644343
75% Corpus,2,0.9099999999999999,0.31,0.2880839153881413
75% Corpus,2,0.9099999999999999,0.61,0.27998706134112916
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.27107435854679424
75% Corpus,2,0.9099999999999999,symmetric,0.26923071871953436
75% Corpus,2,symmetric,0.01,0.2924916596138172
75% Corpus,2,symmetric,0.31,0.2795631004123966
75% Corpus,2,symmetric,0.61,0.28027629386216696
75% Corpus,2,symmetric,0.9099999999999999,0.23698573091873842
75% Corpus,2,symmetric,symmetric,0.24404055781479855
75% Corpus,2,asymmetric,0.01,0.2564108996323623
75% Corpus,2,asymmetric,0.31,0.3454004289383231
75% Corpus,2,asymmetric,0.61,0.46071529973966435
75% Corpus,2,asymmetric,0.9099999999999999,0.507847339098803
75% Corpus,2,asymmetric,symmetric,0.4092316469303219
75% Corpus,3,0.01,0.01,0.30975872834415863
75% Corpus,3,0.01,0.31,0.29723342139585585
75% Corpus,3,0.01,0.61,0.2910548010726191
75% Corpus,3,0.01,0.9099999999999999,0.2916932826256397
75% Corpus,3,0.01,symmetric,0.3030099799988901
75% Corpus,3,0.31,0.01,0.36507599749429254
75% Corpus,3,0.31,0.31,0.33109590244485737
75% Corpus,3,0.31,0.61,0.2955244101355813
75% Corpus,3,0.31,0.9099999999999999,0.33674907866531223
75% Corpus,3,0.31,symmetric,0.33341962855251484
75% Corpus,3,0.61,0.01,0.34413144680292884
75% Corpus,3,0.61,0.31,0.3193194567863728
75% Corpus,3,0.61,0.61,0.2791013403371397
75% Corpus,3,0.61,0.9099999999999999,0.2799266944193259
75% Corpus,3,0.61,symmetric,0.29972204429860033
75% Corpus,3,0.9099999999999999,0.01,0.3739615791988178
75% Corpus,3,0.9099999999999999,0.31,0.34089799799820436
75% Corpus,3,0.9099999999999999,0.61,0.3122153398892435
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.2812827145157254
75% Corpus,3,0.9099999999999999,symmetric,0.3304384594434797
75% Corpus,3,symmetric,0.01,0.334134648070696
75% Corpus,3,symmetric,0.31,0.33502598212612966
75% Corpus,3,symmetric,0.61,0.32698039748257285
75% Corpus,3,symmetric,0.9099999999999999,0.33384800600510056
75% Corpus,3,symmetric,symmetric,0.302144765474557
75% Corpus,3,asymmetric,0.01,0.30190787919890294
75% Corpus,3,asymmetric,0.31,0.36914826057284117
75% Corpus,3,asymmetric,0.61,0.498478971322535
75% Corpus,3,asymmetric,0.9099999999999999,0.5418948977367231
75% Corpus,3,asymmetric,symmetric,0.3954596246336582
75% Corpus,4,0.01,0.01,0.31997770294078115
75% Corpus,4,0.01,0.31,0.3308872657515133
75% Corpus,4,0.01,0.61,0.2599024378946788
75% Corpus,4,0.01,0.9099999999999999,0.3396037126867463
75% Corpus,4,0.01,symmetric,0.37541978367239137
75% Corpus,4,0.31,0.01,0.3455946733390685
75% Corpus,4,0.31,0.31,0.35212246146011394
75% Corpus,4,0.31,0.61,0.3127202564901032
75% Corpus,4,0.31,0.9099999999999999,0.3348247401636717
75% Corpus,4,0.31,symmetric,0.3227900909451429
75% Corpus,4,0.61,0.01,0.3697058953877218
75% Corpus,4,0.61,0.31,0.3310712789252117
75% Corpus,4,0.61,0.61,0.3347029846617781
75% Corpus,4,0.61,0.9099999999999999,0.3467483737196479
